,Unnamed: 0,player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,first_match_date,last_match_date
14176,14176,214175,Natalia,Belova,U,19970907.0,RUS,,,2013-11-11,2016-09-26
14177,14177,214176,Valeria,Gorlats,R,19980331.0,EST,,Q18979296,2015-09-14,2023-10-16
14178,14178,214177,Marie,Van Aelst,U,19980124.0,BEL,,,2013-11-11,2013-11-11
14179,14179,214178,Maria,Naoum,U,19990101.0,GRE,,,2013-11-11,2013-11-25
14180,14180,214179,Anastasia,Prokopenko,L,19960626.0,UKR,,,2013-11-11,2013-11-11
14181,14181,214180,Anna,Makhorkina,U,19970630.0,RUS,,,2014-09-08,2019-11-11
14182,14182,214181,Anastasia,Gasanova,R,19990515.0,RUS,,Q104698749,2014-08-04,2024-05-27
14183,14183,214182,Veronica,Miroshnichenko,L,19971119.0,RUS,,,2013-11-11,2024-09-30
14184,14184,214183,Ghita,Lahjouji,R,19980520.0,MAR,,,2013-11-18,2013-11-18
14185,14185,214184,Celine,Schepers,U,19980428.0,BEL,,,2013-11-18,2013-11-18
14186,14186,214185,Diana,Krasnova,U,19970622.0,RUS,,,2016-05-02,2020-03-09
14187,14187,214186,Dea,Lako,U,19990419.0,CRO,,,2013-11-18,2013-11-18
14188,14188,214187,Anastasia,Smirnova,U,19980930.0,BEL,,,2014-11-17,2017-01-09
14189,14189,214188,Victoria,Smirnova,U,19980930.0,BEL,,,2015-01-05,2017-08-21
14190,14190,214189,Alicia,Herrero Linana,R,19981229.0,ESP,,,2015-07-06,2024-11-04
14191,14191,214190,Nicole,Baloescu,U,19971103.0,CAN,,,2013-11-18,2016-05-23
14192,14192,214191,Seone,Mendez,R,19990515.0,AUS,,Q60575176,2013-11-18,2024-06-10
14193,14193,214192,Sofia,Salimova,U,19951028.0,RUS,,,2013-11-18,2016-01-18
14194,14194,214193,Simona,Heinova,U,19970528.0,CZE,,Q16938122,2013-11-25,2017-08-28
14195,14195,214194,Ghita,Nassik,R,19970318.0,MAR,,,2013-11-25,2013-11-25
14196,14196,214195,Oceane,Razakaboana,U,19970329.0,MAD,,,2013-11-25,2013-11-25
14197,14197,214196,Ksenia,Tortsikava,U,19970501.0,BLR,,,2013-11-25,2013-11-25
14198,14198,214197,Valentina,Gonzalez Ramirez,U,19990130.0,COL,,,2013-11-25,2013-12-02
14199,14199,214198,Liz Andrea,Miranda,U,19970325.0,COL,,,2013-11-25,2013-11-25
14200,14200,214199,Valeria,Mantilla,R,19971227.0,COL,,,2013-11-25,2013-11-25
14201,14201,214200,Luz Angelica,Solano Delgado,R,19970121.0,COL,,,2013-11-25,2014-12-01
14202,14202,214201,Jocelijn,Cavero Roeper,U,19970615.0,NED,,,2019-05-06,2019-05-06
14203,14203,214202,Daniela Renee,Leitch,R,19940311.0,CHI,,,2013-11-25,2013-12-09
14204,14204,214203,Adi,Milstein,U,19951213.0,USA,,,2013-11-25,2013-11-25
14205,14205,214204,Pancha,Aguilar Sepulveda Francisca Gisella,U,19980731.0,CHI,,,2013-11-25,2013-11-25
14206,14206,214205,Antonella,Altamirano,U,19950617.0,ECU,,,2013-11-25,2013-11-25
14207,14207,214206,Elizaveta,Voronova,U,19970613.0,RUS,,,2013-11-25,2013-11-25
14208,14208,214207,Gorana,Kadijevic,U,19981230.0,CRO,,,2013-11-25,2013-11-25
14209,14209,214208,Andrea,Lippe,U,19920904.0,GER,,,2015-08-24,2015-09-07
14210,14210,214209,Klara,Mrcela,U,19990217.0,CRO,,,2013-11-25,2015-05-04
14211,14211,214210,Silvia,Gualtieri,U,19970717.0,ITA,,,2013-11-25,2013-11-25
14212,14212,214211,Barbara,Bacic,R,19961031.0,CRO,,,2013-11-25,2014-04-07
14213,14213,214212,Noelia,Bouzo Zanotti,R,19990906.0,ESP,,,2013-12-02,2024-10-07
14214,14214,214213,Rocio,Safont Branchadell,U,19990115.0,ESP,,,2013-11-25,2015-11-23
14215,14215,214214,Alba,Cortina Pou,U,19980110.0,ESP,,,2016-05-23,2016-05-23
14216,14216,214215,Maria,Toran Ribes,U,19980810.0,ESP,,,2014-11-10,2014-11-10
14217,14217,214216,Marta Huqi,Gonzalez Encinas,U,19980916.0,ESP,,,2014-09-15,2023-02-06
14218,14218,214217,Tatiana,Papakanellou,U,19980522.0,GRE,,,2013-11-25,2013-11-25
14219,14219,214218,Sissi,Kroustalaki,U,19981107.0,GRE,,,2013-11-25,2013-11-25
14220,14220,214219,Tessah,Andrianjafitrimo,R,19981011.0,FRA,169.0,Q21162243,2013-12-09,2024-07-15
14221,14221,214220,Margot,Yerolymos,R,19970419.0,FRA,178.0,Q24189011,2013-12-09,2022-10-10
14222,14222,214221,Ralina,Kalimullina,U,19960229.0,RUS,,,2014-07-14,2022-11-28
14223,14223,214222,Valeriya,Solopaeva,R,19970106.0,RUS,,,2013-12-09,2014-02-17
14224,14224,214223,Tsukasa,Yamaguchi,U,19850116.0,JPN,,,2013-12-02,2014-06-23
14225,14225,214224,Segun,Lesi,U,19830328.0,NGR,,,2013-12-09,2013-12-09
14226,14226,214225,Snehadevi S,Reddy,R,19970213.0,IND,,Q28736657,2013-12-02,2018-06-18
14227,14227,214226,Vasanti,Shinde,L,19970215.0,IND,,,2016-06-20,2024-01-08
14228,14228,214227,Laura,Botero,U,19970214.0,COL,,,2013-12-02,2013-12-02
14229,14229,214228,Maria Juliana,Labrador Morales,U,19970718.0,COL,,,2013-12-02,2013-12-02
14230,14230,214229,Man Ying Maggie,Ng,R,19960328.0,HKG,,Q107987236,2015-05-18,2024-02-19
14231,14231,214230,Chun Wing,Sher,R,19910228.0,HKG,,,2013-12-02,2013-12-16
